name-pr,version,name,loc,bug
hadoop,0.92RC0,org.apache.hadoop.hbase.util.RegionSplitter,443,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HBaseAdmin,671,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.TableRecordReaderImpl,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.PoolMap,97,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.HRegionServer,2000,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestFSUtils,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.catalog.CatalogTracker,198,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.CatalogJanitor,72,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.metrics.RegionServerMetrics,139,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.TestHQuorumPeer,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.TestHQuorumPeer,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.TestHQuorumPeer,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.FSMapRUtils,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HConnectionManager,1182,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.TableMapReduceUtil,127,no
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.regionserver.TestReplicationSourceManager,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.Driver,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestHLog,397,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestHLog,398,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestHLog,397,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestHRegionInfo,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.TestDelayedRpc,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.HBaseServer,981,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestPoolMap,19,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.PoolMap,101,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.PoolMap,100,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestMasterFailover,380,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.TestHFileBlock,238,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestBytes,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.HBaseClient,513,no
hadoop,0.92RC0,org.apache.hadoop.hbase.filter.SingleColumnValueFilter,39,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.Result,334,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.RecoverableZooKeeper,328,no
